prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-grok-4.1-fast,1.0,0.2,0.0,LOG-01,"The model explicitly names existing competitors like ShipBob and Shopify Fulfillment Network. The idea is a parametric tweak of existing shared fulfillment models, focusing on niche markets or cost reduction."
O02,LOG-02,Logistics,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,LOG-02,"The model acknowledges the competitive landscape and existing players in the same-day delivery space, signaling non-novelty. The core idea is a parametric tweak of existing on-demand last-mile delivery services, focusing on retail rather than food."
O03,FIN-01,Fintech,openrouter-grok-4.1-fast,1.0,0.0,0.0,FIN-01,"The model explicitly identifies the idea as Buy Now, Pay Later (BNPL) and names existing companies like Afterpay and Klarna. The idea is a direct match to the BNPL archetype."
O04,FIN-02,Fintech,openrouter-grok-4.1-fast,1.0,0.4,0.0,FIN-02,"The model explicitly acknowledges the existence of neobanks and their focus on Gen Z. The suggestions for innovation are recombinatorial, such as integrating gig economy tools or social/sustainability features."
O05,FIN-03,Fintech,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,FIN-03,"The model acknowledges the existence of similar apps like Mint and YNAB, signaling non-novelty. The idea is a parametric tweak of existing finance aggregators, focusing on specific niches or adding AI-powered analysis."
O06,HLT-01,Health,openrouter-grok-4.1-fast,1.0,0.0,0.0,HLT-01,"The model explicitly names existing telemedicine platforms like Teladoc and Amwell. The idea is a direct implementation of telemedicine, offering video calls with doctors, which is already a well-established service."
O07,HLT-03,Health,openrouter-grok-4.1-fast,1.0,0.0,0.0,HLT-03,"The model explicitly names existing competitors like BetterHelp and Talkspace, indicating awareness of prior art. The idea is a direct instantiation of an existing mental health marketplace, offering on-demand therapist matching, which is already available."
O08,RE-01,Real Estate,openrouter-grok-4.1-fast,1.0,0.0,0.0,RE-01,"The model explicitly names the iBuyer model and Opendoor. The core idea is identical to existing iBuying services, just with a focus on speed and AI, which are already features of existing players."
O09,RE-02,Real Estate,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,RE-02,"The model acknowledges the existence of similar platforms like Fundrise and Arrived Homes, indicating some awareness of prior art. The idea itself is a parametric tweak of existing fractional ownership models, focusing on rental properties, thus lacking significant conceptual novelty."
O10,SAS-01,SaaS,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges the existence of competitors like Salesforce Einstein, Gong, and Clari, indicating awareness of prior art. The core idea is a parametric tweak (AI) on existing CRM systems, thus low conceptual novelty."
O11,SAS-03,SaaS,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,SAS-03,"The model acknowledges the existence of similar tools like Notion, Slack, and ClickUp, indicating awareness of prior art. The idea is a combination of existing features (docs, chat, tasks) with AI, which is a parametric tweak rather than a novel concept."
O12,DEV-01,DevTools,openrouter-grok-4.1-fast,1.0,0.0,0.0,DEV-01,The model explicitly names existing solutions like Github Copilot and Cursor.ai. The idea is a cosmetic rephrasing of existing AI coding assistants.
O13,DEV-02,DevTools,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,DEV-02,"The model acknowledges existing observability tools but frames ML-driven prediction as a differentiator. The core idea is a parametric tweak (adding ML to existing monitoring), not a new mechanism."
O14,DEV-03,DevTools,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,DEV-01,"The model acknowledges existing solutions like Pulumi AI and CDKTF with LLM integrations, signaling non-novelty. The core idea is a parametric tweak of existing AI coding assistants, applying them to infrastructure-as-code, rather than introducing a new mechanism."
O15,AI-01,AI-Tooling,openrouter-grok-4.1-fast,1.0,0.0,0.0,AI-01,"The model explicitly names the existing market of vector databases and provides a competitive landscape analysis. The idea does not introduce any new conceptual primitives, and is a verbatim instance of AI-01."
O16,AI-01,AI-Tooling,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,AI-01,"The model acknowledges the existence of LangChain and LlamaIndex, but still frames the idea as a strong one. The core idea is a parametric tweak on existing LLM infrastructure, focusing on simplicity and speed."
O17,AI-02,AI-Tooling,openrouter-grok-4.1-fast,1.0,0.0,0.0,AI-02,"The model explicitly names existing competitors like Replicate and Together AI, indicating awareness of the prior art. The core idea of hosting open-source LLMs via API is already addressed by these platforms, so there is no conceptual novelty."
O18,NOCODE-01,No-Code,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,NOCODE-01,"The model acknowledges the existence of drag-and-drop website builders and the competitive landscape, but still frames the idea as potentially viable with a niche or unique angle. The core mechanism is already present in existing no-code app builders, so the conceptual novelty is low."
O19,NOCODE-02,No-Code,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,NOCODE-02,"The model acknowledges the existence of competitors like Zapier and Make, signaling non-novelty. The core idea is workflow automation, which is already present in the RPAC, and the suggested niches are parametric tweaks."
O20,SEC-01,Security,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,SEC-01,"The model acknowledges the competitive landscape and the existence of established players like CrowdStrike and SentinelOne, signaling non-novelty. The core idea of an AI-powered endpoint protection platform is a parametric tweak on existing SIEM/XDR solutions, focusing on AI enhancements."
O21,SEC-02,Security,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,SEC-02,"The model acknowledges the existence of passwordless authentication solutions like Okta and Auth0, but still frames the idea as startup-worthy if a ""unique angle"" is found. The suggested differentiations are parametric tweaks, not new mechanisms."
O22,DATA-01,Data,openrouter-grok-4.1-fast,1.0,0.0,0.0,DATA-01,The model explicitly acknowledges that the idea of separating storage and compute in a cloud data warehouse is not novel and is already a well-established concept pioneered by Snowflake and other major players. The model does not introduce any new conceptual primitives.
O23,CONTROL,Control,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,,"The model acknowledges the existence of other social media platforms and the difficulty of creating something truly new. However, it still frames the ideas as potentially novel, which lowers the PAAS score. The ideas presented are mostly recombinations of existing features or parametric tweaks, resulting in a low CNS score."
O24,CONTROL,Control,openrouter-grok-4.1-fast,0.7,0.0,0.30000000000000004,,"The model acknowledges the dominance of Google and the difficulty of competing, but still frames the idea as potentially valuable. The core idea of building a search engine is not novel."
O25,CONTROL,Control,openrouter-grok-4.1-fast,1.0,0.0,0.0,,"The model explicitly states that differentiating from Amazon is hard and provides examples of existing marketplaces that have done so. The model does not introduce any new conceptual primitives, instead focusing on niche markets and superior experiences, which are already present in the market."
O26,STRESS,Stress-Test,openrouter-grok-4.1-fast,1.0,0.0,0.0,FIN-01,"The model explicitly states that BNPL is not a new idea and names existing companies in the space. The model does not introduce any new conceptual primitives, and the core mechanism is already present in the RPAC."
O27,STRESS,Stress-Test,openrouter-grok-4.1-fast,1.0,0.0,0.0,FIN-02,The model explicitly states that the idea has been done before and names existing neobanks. The idea is a verbatim match for the neobank archetype.
O28,STRESS,Stress-Test,openrouter-grok-4.1-fast,1.0,0.0,0.0,HLT-01,The model explicitly states that telemedicine via video calls has been around for decades. The idea is not novel and matches the telemedicine archetype.
O29,STRESS,Stress-Test,openrouter-grok-4.1-fast,1.0,0.0,0.0,DEV-01,The model explicitly states that the idea is not new and names existing tools like GitHub Copilot and Amazon CodeWhisperer. The core concept is already present in existing AI coding assistants.
O30,STRESS,Stress-Test,openrouter-grok-4.1-fast,1.0,0.0,0.0,AI-01,The model explicitly states that vector databases are not a new invention and names existing players like Pinecone and Weaviate. The idea is not novel and matches the vector database archetype.
